Date,ISO3166-2,Relative Humidity Surface,Solar Radiation,Surface Pressure,Temperature Above Ground,Total Precipiation,UV-Index,Wind Speed
2020-07-30,DE-HH,67.021403,9998135.204545,2441102.094697,289.169157,1.1e-05,33.977273,2.889394
2020-07-31,DE-HH,63.070423,18644507.909091,2437169.975379,292.462061,0.0,38.0,1.800316
2020-08-01,DE-HH,62.260920999999996,9150638.25,2426406.657197,295.148107,0.005111,33.681818,3.288478
2020-08-02,DE-HH,76.873168,6280020.761364,2423760.9507580004,291.9494,0.0016640000000000001,34.227273,2.642298
2020-08-03,DE-HH,72.283301,12527254.568182,2423619.183712,289.635797,0.000573,35.560606,2.7908779999999997
2020-08-04,DE-HH,67.73326899999999,13829843.371212,2429386.242424,289.471338,7.099999999999999e-05,39.909091,2.548106
2020-08-05,DE-HH,52.907796999999995,17469771.742424,2431841.952652,294.296869,0.0,40.181818,3.198611
2020-08-06,DE-HH,47.921844,18245032.787879,2440625.373106,297.05946800000004,0.0,39.643939,1.9256630000000001
2020-08-07,DE-HH,52.568813,19188814.424242,2443810.666667,297.835827,0.0,38.242424,2.507828
2020-08-08,DE-HH,57.569191000000004,18010244.712121,2440784.210227,299.187814,2e-06,38.0,2.059628
2020-08-09,DE-HH,56.84754,10946047.530303,2437674.7632580004,298.217268,2.8000000000000003e-05,30.651515000000003,2.962532
2020-08-10,DE-HH,61.857639,14928664.454545,2435154.816288,298.703029,0.003087,36.931818,2.956629
2020-08-11,DE-HH,57.37076999999999,18325369.954545002,2438864.386364,298.672699,1.6e-05,36.075758,3.8690029999999997
2020-08-12,DE-HH,53.064868000000004,15919437.80303,2435553.532197,297.817078,0.0,36.0,3.768592
2020-08-13,DE-HH,54.450537,16189197.55303,2426250.503788,297.15880699999997,1e-05,36.0,3.690372
2020-08-14,DE-HH,58.351105000000004,10529035.106061,2422734.270833,296.78481600000003,0.000256,35.636364,2.285196
2020-08-15,DE-HH,60.782702,13920291.075757999,2426284.880682,297.104417,5e-06,34.969697,2.1438759999999997
2020-08-16,DE-HH,52.262659,13902724.462120999,2422667.323864,297.776261,1e-05,35.0,2.647569
2020-08-17,DE-HH,60.807702,10761871.128788,2414856.61553,295.67420899999996,0.002888,34.939394,2.789994
2020-08-18,DE-HH,76.253186,9154133.700758,2415569.873106,293.661807,0.002172,29.219696999999996,2.225253
2020-08-19,DE-HH,68.68478499999999,14054636.090909,2416011.475379,293.609307,0.00013700000000000002,34.219697,1.6719380000000001
2020-08-20,DE-HH,66.8631,3169441.75947,2413669.704545,296.19021499999997,0.000127,27.69697,2.662184
2020-08-21,DE-HH,77.520076,2008841.852273,2415578.602273,295.84049500000003,0.003457,30.651515000000003,2.3700759999999996
2020-08-22,DE-HH,76.15350500000001,8510274.617424,2421525.100379,292.778441,0.001017,28.015152,3.461679
2020-08-23,DE-HH,78.083208,7462067.454545,2421472.318182,290.67380099999997,0.001871,23.931818,4.461269000000001
2020-08-24,DE-HH,91.258049,2014311.9100380002,2421925.867424,287.893433,0.007723999999999999,18.106060999999997,3.227462
2020-08-25,DE-HH,82.311488,5110076.125,2413496.577652,288.805244,0.005423,22.94697,3.1053029999999997
2020-08-26,DE-HH,90.320202,344856.327888,2393743.729167,289.548715,0.012320999999999999,17.583333,6.470234
2020-08-27,DE-HH,76.412216,5824290.42803,2422212.909091,288.776515,0.001037,22.840909,4.154261
2020-08-28,DE-HH,77.91234,7803851.613636,2397089.977273,289.389399,0.005574,22.007576,2.791256
2020-08-29,DE-HH,75.30404,10835141.893939,2400684.306818,289.31780200000003,0.00045999999999999996,23.704545,2.844034
2020-08-30,DE-HH,72.312877,11265107.015152,2415127.613636,290.01808900000003,0.00040899999999999997,24.0,1.731218
2020-08-31,DE-HH,73.212784,4893526.181818,2433476.7992419996,289.231693,0.000831,22.295455,2.59596
2020-09-01,DE-HH,64.944191,9279966.189394,2438642.859848,288.115974,2e-06,24.530303,2.649179
2020-09-02,DE-HH,72.96691899999999,8630351.946969999,2435653.873106,287.7566,7e-05,24.022727,1.945518
2020-09-03,DE-HH,84.759749,2535381.913826,2432113.458333,286.978409,0.005743,23.219697,3.308523
2020-09-04,DE-HH,80.561391,7341050.613636,2434713.903409,290.425535,0.000594,22.69697,3.083302
2020-09-05,DE-HH,79.509659,7426469.155303,2429020.808712,287.994415,0.00558,22.734848,3.4005050000000003
2020-09-06,DE-HH,81.428252,6601537.325758,2434408.655303,286.304072,0.00387,19.204545,3.148548
2020-09-07,DE-HH,78.591664,6750763.871212,2444702.083333,287.90994,0.000394,20.795455,3.008681
2020-09-08,DE-HH,84.157262,505017.73911,2444881.045455,289.558048,0.0006360000000000001,13.840909,4.397317
2020-09-09,DE-HH,88.742517,1031399.4886360001,2436317.526515,290.39011600000003,0.0020559999999999997,13.772727,4.315341
2020-09-10,DE-HH,77.228942,5393110.382576,2441552.5757580004,287.126036,0.00015800000000000002,22.590909,2.387311
2020-09-11,DE-HH,72.279135,6361426.534091,2433139.142045,287.985407,1.9e-05,23.954545,1.96512
2020-09-12,DE-HH,80.46085699999999,6308035.518939,2434499.664773,287.21865099999997,0.00032,19.742424,3.498706
2020-09-13,DE-HH,76.686581,10548232.469697,2449019.181818,289.46979500000003,0.0,23.0,3.5938760000000003
