date,region_code,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed,region
2020-05-09,DE-MV,66.579249,16690214.950320002,2425891.168394,14.221979000000033,0.000218,28.343798,1.894257,Hessen
2020-05-09,DE-NI,54.896003,18489897.375,2413035.196272,15.794137000000035,1e-05,33.417390000000005,2.049836,Mecklenburg-Vorpommern
2020-05-09,DE-NW,51.582033,14239948.055894,2380659.0816430002,16.53111899999999,1.6e-05,32.755465,2.241726,Niedersachsen
2020-05-09,DE-RP,68.107834,6652482.2780639995,2339726.12862,14.598983000000032,0.002121,27.758429,1.9802819999999999,Nordrhein-Westfalen
2020-05-09,DE-SH,69.197598,15104869.413315,2429508.502793,14.032083999999998,0.000317,31.237712,2.085413,Rheinland-Pfalz
2020-05-09,DE-SL,72.843705,4171146.694293,2340746.595109,14.793545000000051,0.003483,25.86413,2.5157380000000003,Saarland
2020-05-09,DE-SN,51.689083000000004,14555069.153862,2349484.788094,15.342949000000033,0.00031099999999999997,25.75382,2.255484,Sachsen
2020-05-09,DE-ST,47.530305,16715139.349392999,2399329.797812,15.767465000000016,0.0,30.373299,2.011939,Sachsen-Anhalt
2020-05-09,DE-TH,52.641663,10019310.729781,2330337.958968,14.97609,0.000321,22.084206,2.363309,Schleswig-Holstein
2020-05-10,DE-BB,62.695016,14171997.088125,2395671.6201979998,17.182855000000018,0.000657,26.065277,2.485941,Hamburg
2020-05-10,DE-BE,63.948688,15112101.216782998,2399997.715035,17.73027200000007,0.00029,31.244754999999998,2.794347,Hessen
2020-05-10,DE-BW,69.282375,10073986.015138,2280471.2345740004,17.326010000000053,0.001811,34.716663,2.276002,Mecklenburg-Vorpommern
2020-05-10,DE-BY,76.66708100000001,8538126.748316001,2266523.8127099997,15.779303000000027,0.00293,27.589817,2.018314,Niedersachsen
2020-05-10,DE-HB,62.821528,10431474.75641,2414730.8846150003,14.153575000000046,0.000344,29.102564,4.53328,Nordrhein-Westfalen
2020-05-10,DE-HE,77.594101,7899075.381438,2328621.187569,15.038918000000024,0.003073,25.741386,2.087054,Rheinland-Pfalz
2020-05-10,DE-HH,53.327904000000004,11876609.469697,2408622.030303,16.24116300000003,0.00018999999999999998,28.704545,3.248043,Saarland
2020-05-10,DE-MV,61.750147999999996,13370093.192624,2405847.258534,16.174076000000014,0.000734,25.90064,3.3324839999999996,Sachsen
2020-05-10,DE-NI,63.008089,8256307.807018,2397150.291667,14.130612000000042,0.0008470000000000001,23.215086,3.553668,Sachsen-Anhalt
