,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
10703,2020-08-29,DE-SH,80.349644,10336845.309650999,2402505.2592720003,288.947604,0.002195,23.203307000000002,2.738498
10757,2020-08-30,DE-SH,77.326184,10228987.666667,2419024.7236369997,289.440474,0.0009460000000000001,23.557641,2.243633
10811,2020-08-31,DE-SH,72.67563100000001,6160539.815907,2436801.644996,288.76025,0.000722,20.217605,2.606216
10865,2020-09-01,DE-SH,70.058452,9672302.366845,2443106.068811,287.329365,2.7000000000000002e-05,24.53664,3.039943
10919,2020-09-02,DE-SH,75.982739,9700539.618409,2439197.252569,288.206223,0.000182,20.882931,2.418169
10973,2020-09-03,DE-SH,86.00348100000001,2705585.4932,2432408.406725,287.173222,0.006055,14.967382,3.9089419999999997
11027,2020-09-04,DE-SH,77.35305600000001,8411356.984584,2435438.200514,290.047142,0.000395,19.140751,4.153854
11081,2020-09-05,DE-SH,79.712193,7635364.164878999,2429370.2696599998,287.742068,0.005508,20.419570999999998,4.465782
11135,2020-09-06,DE-SH,80.657089,7032068.415325999,2435336.923816,286.39922,0.002257,16.441019,3.486632
11189,2020-09-07,DE-SH,76.57319,6821326.989723001,2445502.156055,287.612675,0.000397,19.437891,3.3995010000000003
11243,2020-09-08,DE-SH,85.81035899999999,1821239.115533,2444391.400022,289.876083,0.00086,14.583557,5.612213
11297,2020-09-09,DE-SH,88.86317,836032.031124,2436519.081211,289.790771,0.001954,10.884718,5.179465
11351,2020-09-10,DE-SH,74.738419,5203580.02223,2443295.463248,286.809581,8.2e-05,18.092046,3.116952
11405,2020-09-11,DE-SH,74.095744,5039760.448838,2434695.963695,287.518902,0.000182,18.172475,3.011962
11459,2020-09-12,DE-SH,79.886267,4362606.462801999,2434683.451296,287.484008,0.000822,15.297587,4.783494999999999
11513,2020-09-13,DE-SH,80.073879,6743855.8753349995,2449066.139522,289.333346,7.7e-05,16.522788000000002,4.9447220000000005
11567,2020-09-14,DE-SH,79.338853,12325226.542002,2455155.304625,291.285869,0.0,21.314567,2.0447889999999997
11621,2020-09-15,DE-SH,79.742313,7697453.235925,2442519.664768,292.47371699999997,0.0,14.540214,1.582082
11675,2020-09-16,DE-SH,82.08853,10056375.069258,2443519.465371,288.980524,2e-06,17.319035,3.7915980000000005
11729,2020-09-17,DE-SH,68.980475,11560524.866845,2468510.538315,284.826804,0.0,17.947720999999998,3.05153
11783,2020-09-18,DE-SH,73.378102,12222191.252011,2465602.568141,284.04700099999997,0.0,17.636282,1.839405
11837,2020-09-19,DE-SH,72.725993,8206392.0828869995,2452399.025804,285.19243,0.0,10.50849,2.5967119999999997
11891,2020-09-20,DE-SH,76.970175,11129541.407507,2445707.759607,286.094371,5e-06,16.954424,2.65256
11945,2020-09-21,DE-SH,77.97881,10187901.476765,2436699.7523459997,286.945672,5e-06,16.209562,1.588559
11999,2020-09-22,DE-SH,77.131452,11007592.745755,2417505.214366,287.668139,0.0,16.496425,1.3125930000000001
12053,2020-09-23,DE-SH,75.981637,9284015.581546001,2401650.996425,288.83731,2.5e-05,15.288651000000002,2.793041
12107,2020-09-24,DE-SH,68.41199,7997306.8257369995,2395549.636059,288.36519300000003,0.001598,15.285523000000001,4.898416
12161,2020-09-25,DE-SH,76.31875699999999,1556864.732329,2385879.24017,285.43312000000003,0.002895,8.483467,3.018521
12215,2020-09-26,DE-SH,84.60684,1129016.770184,2386743.089477,284.529219,0.006257,6.559428,3.9165419999999997
12269,2020-09-27,DE-SH,91.18966800000001,230124.897549,2403862.183199,286.468233,0.003669,5.936104,2.8821830000000004
12323,2020-09-28,DE-SH,90.45643199999999,1096501.7061969999,2418695.954982,285.94633799999997,0.00024900000000000004,4.928508,2.430196
